Macrotrends Data Download

Voronezh, Russia Metro Area Population 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,332000
1951-12-31,344000,3.61
1952-12-31,356000,3.49
1953-12-31,369000,3.65
1954-12-31,382000,3.52
1955-12-31,396000,3.66
1956-12-31,410000,3.54
1957-12-31,425000,3.66
1958-12-31,440000,3.53
1959-12-31,455000,3.41
1960-12-31,472000,3.74
1961-12-31,489000,3.6
1962-12-31,506000,3.48
1963-12-31,524000,3.56
1964-12-31,543000,3.63
1965-12-31,563000,3.68
1966-12-31,583000,3.55
1967-12-31,604000,3.6
1968-12-31,625000,3.48
1969-12-31,648000,3.68
1970-12-31,667000,2.93
1971-12-31,684000,2.55
1972-12-31,701000,2.49
1973-12-31,719000,2.57
1974-12-31,737000,2.5
1975-12-31,755000,2.44
1976-12-31,774000,2.52
1977-12-31,793000,2.45
1978-12-31,813000,2.52
1979-12-31,827000,1.72
1980-12-31,833000,0.73
1981-12-31,839000,0.72
1982-12-31,844000,0.6
1983-12-31,850000,0.71
1984-12-31,856000,0.71
1985-12-31,862000,0.7
1986-12-31,869000,0.81
1987-12-31,875000,0.69
1988-12-31,881000,0.69
1989-12-31,886000,0.57
1990-12-31,889000,0.34
1991-12-31,892000,0.34
1992-12-31,895000,0.34
1993-12-31,898000,0.34
1994-12-31,902000,0.45
1995-12-31,905000,0.33
1996-12-31,908000,0.33
1997-12-31,911000,0.33
1998-12-31,914000,0.33
1999-12-31,918000,0.44
2000-12-31,921000,0.33
2001-12-31,924000,0.33
2002-12-31,928000,0.43
2003-12-31,933000,0.54
2004-12-31,938000,0.54
2005-12-31,944000,0.64
2006-12-31,950000,0.64
2007-12-31,956000,0.63
2008-12-31,962000,0.63
2009-12-31,968000,0.62
2010-12-31,974000,0.62
2011-12-31,983000,0.92
2012-12-31,993000,1.02
2013-12-31,1003000,1.01
2014-12-31,1013000,1
2015-12-31,1024000,1.09
2016-12-31,1034000,0.98
2017-12-31,1045000,1.06
2018-12-31,1056000,1.05
2019-12-31,1062000,0.57
2020-12-31,1068000,0.56
2021-12-31,1073000,0.47
2022-12-31,1077000,0.37
2023-12-31,1081000,0.37
2024-12-31,1084000,0.28
2025-12-31,1086000,0.18
2026-12-31,1088000,0.18
2027-12-31,1089000,0.09
2028-12-31,1090000,0.09
2029-12-31,1091000,0.09
2030-12-31,1091000,0
2031-12-31,1092000,0.09
2032-12-31,1092000,0
2033-12-31,1092000,0
2034-12-31,1093000,0.09
2035-12-31,1094000,0.09
